City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount gambier,-37.8333,140.7667,10.97,92,17,1.39,AU,1675626894
1,rikitea,-23.1203,-134.9692,25.98,75,7,7.14,PF,1675626894
2,teluknaga,-6.0989,106.6381,28.68,83,40,2.57,ID,1675626894
3,matagami,49.7502,-77.6328,-16.94,66,0,2.06,CA,1675626895
4,butaritari,3.0707,172.7902,27.01,81,100,8.81,KI,1675626895
5,hilo,19.7297,-155.09,25.34,82,40,2.06,US,1675626646
6,turukhansk,65.8167,87.9833,-17.55,99,97,0.96,RU,1675626896
7,kahului,20.8947,-156.47,25.54,79,20,9.26,US,1675626896
8,busselton,-33.65,115.3333,19.31,80,39,6.17,AU,1675626897
9,upernavik,72.7868,-56.1549,-25.07,93,100,0.5,GL,1675626897
10,sinfra,6.6167,-5.9167,28.83,41,60,1.63,CI,1675626897
11,new norfolk,-42.7826,147.0587,14.72,64,100,0.89,AU,1675626898
12,thompson,55.7435,-97.8558,-15.91,85,100,1.03,CA,1675626898
13,hobart,-42.8794,147.3294,14.92,75,75,6.69,AU,1675626644
14,lompoc,34.6391,-120.4579,17.23,74,75,7.2,US,1675626899
15,mar del plata,-38.0023,-57.5575,32.13,40,0,5.66,AR,1675626899
16,kodiak,57.79,-152.4072,3.73,100,100,8.23,US,1675626900
17,kirakira,-10.4544,161.9205,25.57,97,100,9.4,SB,1675626900
18,kapaa,22.0752,-159.319,24.18,89,75,7.72,US,1675626901
19,ushuaia,-54.8,-68.3,9.79,81,40,15.95,AR,1675626901
20,quelimane,-17.8786,36.8883,27.97,83,75,2.24,MZ,1675626901
21,keetmanshoop,-26.5833,18.1333,26.43,49,92,6.08,NA,1675626902
22,provideniya,64.3833,-173.3,-17.01,95,98,4.62,RU,1675626904
23,mataura,-46.1927,168.8643,13.43,97,100,5.08,NZ,1675626908
24,aguimes,27.9054,-15.4461,15.92,63,20,2.57,ES,1675626910
25,punta arenas,-53.15,-70.9167,13.06,38,0,15.43,CL,1675626911
